Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-01-03,Pwp Amazon.Com* Privacycom TN: 3670551,,-65.69,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amazon.Com* Privacycom TN: 7781367,,-230.48,295773.81,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp AMAZON.COM*CY05J2MU3,,655.91,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-04,Pwp Amazon.Com Privacycom TN: 8945885,,-230.48,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,WT Fed#08895 Jpmorgan Chase Ban /Org=Popstand Inc,4000.00,,,Credit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Wire Trans Svc Charge - Sequence: 220104043719,,-15.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Wholefds Oxn #1031 Oxnard CA,,-19.08,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,So Cal Edison CO Bill Paymt,,-69.61,,Debit,Utilities,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Chase Credit Crd Epay,,-886.51,,Debit,Credit Card Payment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amazon.Com* Privacycom TN: 5074318,,-12.03,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amazon Web Privacycom TN: 5153350,,-19.18,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amazon.Com* Privacycom TN: 3646662,,-20.79,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Pinata Clou Privacycom TN: 9767026,,-34.20,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amzn Mktp U Privacycom TN: 1466207,,-36.12,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amzn Mktp U Privacycom TN: 9006636,,-41.54,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amzn Mktp U Privacycom TN: 9478545,,-230.48,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-04,Pwp Amazon.Com* Privacycom TN: 7197111,,-655.91,297963.84,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Pwp HLU*Hulu 1910927651266-U,,6.99,,Debit,,Privacy.com card ending 7823 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-05,WT Fed#05105 Jpmorgan Chase Ban /Org=Popstand Inc,2000.00,,,Credit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Wire Trans Svc Charge - Sequence: 220105129355,,-15.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Instacart Httpsinstacar CA,,-22.96,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Pwp Amzn Mktp U Privacycom TN: 1230917,,-12.14,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Pwp Amzn Mktp U Privacycom TN: 4390215,,-26.24,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-05,Pwp Amzn Mktp U Privacycom TN: 3437221,,-38.47,299849.03,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,Pwp HOO*HOOTSUITE INC,,75.00,,Debit,,Privacy.com card ending 4688 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-06,Pwp AMZN Mktp US*V85H98JR3,,9.84,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-06,Pwp Prime Video*QW38W6P73,,2.99,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-06,Medium.Com Medium.Com St-N3H0I6K0J5Z9,,-0.41,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,WT Fed#02280 Jpmorgan Chase Ban /Org=Popstand Inc,5000.00,,,Credit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,Wire Trans Svc Charge - Sequence: 220106167671,,-15.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,Uber Eats Help.Uber.Com CA,,-11.94,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,Pwp Hlu*Hulu 19 Privacycom TN: 8280931,,-6.99,,Debit,Entertainment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-06,Pwp Amazon.Com* Privacycom TN: 1903667,,-53.81,304761.70,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-07,Pwp DNH*GODADDY.COM,,24.99,,Debit,,Privacy.com card ending 5514 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-07,Wire Trans Svc Charge - Sequence: 220107021465,,-30.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-07,WT Fed#01664 Ally Bank /Ftr/Bnf=Marcelo Ely DE Oliveira,,-1990.00,,Debit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-07,Pwp Prime Video Privacycom TN: 8126565,,-2.99,302738.71,Debit,Entertainment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-08,Pwp APPLE COM BILL,,32.97,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-08,Pwp Amazon.com*413ZF7FZ3,,19.62,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-08,Pwp AMAZON.COM,,65.69,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-08,Pwp AMAZON.COM*NV5ZS4GB3,,38.70,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-09,Pwp APPLE.COM/BILL,,4.99,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp QUICKNODE API,,299.00,,Debit,,Privacy.com card ending 7584 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp AMAZON.COM,,47.14,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp AMZN Mktp US*IF8SH81P3,,256.05,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp AMZN Mktp US*021302RP3,,35.17,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp Amazon Tips*KQ1V84FW3,,5.00,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp GOOGLE*DOMAINS,,24.00,,Debit,,Privacy.com card ending 2090 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Pwp Amazon.com*EA73H3GS3,,181.19,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-10,Wire Trans Svc Charge - Sequence: 220110117370,,-30.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Uber Eats Help.Uber.Com CA,,-11.94,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Wholefds Oxn #1031 Oxnard CA,,-25.18,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Wholefds Oxn #1031 Oxnard CA,,-17.24,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Lowe's #1941 Oxnard CA,,-706.55,,Debit,Home Improvement,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Uber Eats Help.Uber.Com CA,,-23.39,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Uber Eats Help.Uber.Com CA,,-44.99,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Uber Eats 8005928996 CA,,-9.70,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,WT Fed#01770 First American Tru /Ftr/Bnf=First American Title Company,,-135780.00,,Debit,Wire Transfer,Large wire transfer - title company | Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,So Cal Gas Paid Scgc,,-66.40,,Debit,Utilities,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Amzn Mktp U Privacycom TN: 1176093,,-9.84,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Amazon.Com* Privacycom TN: 2830672,,-19.62,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Dnh*Godaddy Privacycom TN: 6964190,,-24.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Apple Com B Privacycom TN: 9021096,,-32.97,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Amazon.Com* Privacycom TN: 4025244,,-38.70,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Hoo*Hootsui Privacycom TN: 1180131,,-75.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-10,Pwp Quicknode A Privacycom TN: 7627339,,-299.00,165523.20,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-11,Pwp HEROKU DEC-60135249,,514.00,,Debit,,Privacy.com card ending 1481 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-11,Recurring Payment authorized on 01/10 WWW.Twitter.Com,,-2.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-11,Pwp Apple.Com/B Privacycom TN: 1849036,,-4.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-11,Pwp Amazon Tips Privacycom TN: 5582321,,-5.00,165510.22,Debit,Tips,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Pwp HEROKU DEC-59293411,,348.54,,Debit,,Privacy.com card ending 1481 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-12,Pwp HEROKU NOV-57636800,,348.53,,Debit,,Privacy.com card ending 1481 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-12,Uber Eats Help.Uber.Com CA,,-35.42,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Target.Com * 800-591-3869 MN,,-384.80,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Recurring Payment authorized on 01/11 Tesla Inc. Palo Alto CA,,-9.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Wholefds Oks 10204 Thousand Oaks CA,,-76.64,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Stash Capital (S ACH,,-1.00,,Debit,Investment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Chase Credit Crd Epay,,-1837.15,,Debit,Credit Card Payment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Pwp Google*Doma Privacycom TN: 2925197,,-24.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Pwp Amzn Mktp U Privacycom TN: 2700218,,-256.05,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-12,Pwp Heroku Dec- Privacycom TN: 5656574,,-514.00,162371.17,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Pwp AMZN Mktp US*V894K5VJ3,,42.89,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-13,WT Fed#00948 Jpmorgan Chase Ban /Org=Popstand Inc,5000.00,,,Credit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Wire Trans Svc Charge - Sequence: 220113019058,,-15.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,City of Fillmore P 805-524-1500 CA,,-230.00,,Debit,Utilities,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Pp*Anywayzmovi Fillmore CA,,-880.00,,Debit,Entertainment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Uber Eats Help.Uber.Com CA,,-106.93,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Pwp Amzn Mktp U Privacycom TN: 8120694,,-35.17,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Pwp Heroku Nov- Privacycom TN: 4215265,,-348.53,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-13,Pwp Heroku Dec- Privacycom TN: 5020017,,-348.54,165407.00,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Pwp APPLE.COM/BILL,,5.99,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-14,Pwp Amazon.com*AS1BY0YQ3,,6.41,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-14,Pwp AMZN Mktp US*5H37U5GN3,,10.70,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-14,Pwp AMZN Mktp US*AC69T31Z3,,55.39,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-14,Popstand Inc Payroll 220114 01820000-0339-0,2210.83,,,Credit,Payroll,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Gusto Pay 022414,5239.22,,,Credit,Payroll,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Porta-Stor Ventura CA,,-220.00,,Debit,Storage,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Business to Business ACH Debit - Truebill Premium,,-7.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Pwp Amazon.Com* Privacycom TN: 1290441,,-181.19,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,Wells Fargo Auto Fee & Pmts,,-632.10,171816.76,Debit,Auto Payment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-14,NFT Genius Payroll - Net Pay,5239.22,,,Credit,Payroll,Pay Period: Jan 1-15 | Source: 2022 nft-genius-inc-paystubs-kurt-braget.pdf | Merged from: 2022_nft-genius_gusto-paystubs.csv
2022-01-15,Pwp APPLE.COM/BILL,,19.99,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,Pwp APPLE.COM/BILL,,9.98,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,Pwp GOOGLE*DOMAINS,,12.00,,Debit,,Privacy.com card ending 2090 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,Pwp AMZN Mktp US*XM0SR39C3,,101.83,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,"Pwp HIVELOCITY, INC.",,284.05,,Debit,,Privacy.com card ending 1364 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,Pwp APPLE.COM/BILL,,9.99,,Debit,,Privacy.com card ending 8173 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-15,Pwp DNH*GODADDY.COM,,9.03,,Debit,,Privacy.com card ending 5514 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-16,Pwp GOOGLE*DOMAINS,,12.00,,Debit,,Privacy.com card ending 2090 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-16,Pwp Amazon.com*II70J88A3,,35.37,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-16,Pwp AMZN Mktp US*BT62V3713,,36.20,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-16,Pwp AMZN Mktp US*H27OV48H3,,26.37,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-16,Pwp A MEDIUM CORPORATION,,5.00,,Debit,,Privacy.com card ending 8323 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-18,Pwp AMZN Mktp US*AT69M7VW3,,43.91,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-18,Pwp AMZN Mktp US*TM6046RM3,,188.71,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-18,Purchase Return authorized on 01/14 Target 0001 Moorpark CA,384.80,,,Credit,Return,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,WT Fed#00262 Jpmorgan Chase Ban /Org=Popstand Inc,2000.00,,,Credit,Wire Transfer,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Wire Trans Svc Charge - Sequence: 220118135000,,-15.00,,Debit,Bank Fees,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Recurring Payment authorized on 01/15 AT&T 1x 800-331-0500,,-181.89,,Debit,Utilities,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Recurring Payment authorized on 01/16 Instacart*Subscrip,,-99.00,,Debit,Subscription,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Erewhon Venice Venice CA,,-22.63,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp A Medium CO Privacycom TN: 8042622,,-5.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Apple.Com/B Privacycom TN: 2911208,,-5.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Amazon.Com* Privacycom TN: 9668745,,-6.41,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Dnh*Godaddy Privacycom TN: 9548168,,-9.03,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Apple.Com/B Privacycom TN: 3089651,,-9.98,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Apple.Com/B Privacycom TN: 3664925,,-9.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Amzn Mktp U Privacycom TN: 4275909,,-10.70,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Google*Doma Privacycom TN: 8642344,,-12.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Google*Doma Privacycom TN: 8800741,,-12.00,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Apple.Com/B Privacycom TN: 9877983,,-19.99,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-18,Pwp Amzn Mktp U Privacycom TN: 8220915,,-26.37,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
