Category,Vendor/Description,Amount,Payment Source,Notes
Contractor Payments,Pablo - app development via Popstand (Zelle),10000.00,Personal (Wells Fargo),"5 payments of $2,000, Jul-Sep 2023"
Developer Tools,GitHub,259.72,Personal (Privacy.com),
Developer Tools,Heroku,1103.58,Personal (Privacy.com),
Developer Tools,Sentry,174.00,Personal (Privacy.com),
Developer Tools,Bitrise,523.30,Personal (Privacy.com),Mobile app CI/CD
Developer Tools,QuickNode,343.00,Personal (Privacy.com),
Developer Tools,Google Cloud,0.53,Personal (Privacy.com),
Developer Tools,Wasabi,6.99,Personal (Privacy.com),
AI/ML Tools,ChatGPT,320.00,Personal (Privacy.com),
AI/ML Tools,OpenAI API,20.00,Personal (Privacy.com),
AI/ML Tools,Midjourney,428.00,Personal (Privacy.com),
AI/ML Tools,ElevenLabs,959.97,Personal (Privacy.com),
AI/ML Tools,Humane AI Pin,763.63,Personal (Privacy.com),
AI/ML Tools,OpenRouter,20.00,Personal (Privacy.com),
Domains & Marketing,Google Domains,1035.40,Personal (Privacy.com),
Domains & Marketing,Twitter/X API,132.02,Personal (Privacy.com),
Domains & Marketing,Mailchimp,39.00,Personal (Privacy.com),
Incorporation Costs,Stripe Atlas,500.00,Personal (Privacy.com),
Legal Services,LegalZoom (registered agent),125.28,Personal (Privacy.com),
Office Equipment,USB C SD Card Reader,,,Personal (Amazon)
Office Equipment,USB C Charger,,,Personal (Amazon)
Office Equipment,S23 Ultra Stylus Pen,39.99,Personal (Amazon),Mobile dev accessory
,,,,
TOTAL,,16815.90,,All paid from Kurt's personal accounts
