Date,Description,Amount,Source,Balance,Notes
2022-10-03,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2500.00,103122 WellsFargo.pdf,,
2022-10-03,Wire Trans Svc Charge,-15.00,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Pasadena Parking - Pasadena CA,-12.00,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Pasadena Parking - Pasadena CA,-12.00,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Starbucks Store 00 San Marino CA,-17.50,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Tst* Sushi Roku - Pasadena CA,-130.25,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Apple.Com/Bill 800-275-2273 CA,-78.97,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Sp Allbirds 188-89638944 CA,-16.54,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Woo Hyang Woo Los Angeles CA,-94.54,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Starbucks Store 54 Los Angeles CA,-5.50,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Erewhon Calabasas Calabasas CA,-70.55,103122 WellsFargo.pdf,,
2022-10-03,Zelle to Ed,-400.00,103122 WellsFargo.pdf,,
2022-10-03,Purchase - Tesla Inc Supercha 877-7983752 CA,-18.33,103122 WellsFargo.pdf,,
2022-10-03,Non-WF ATM Withdrawal - 177 E Colordo Bv Pasadna CA,-203.00,103122 WellsFargo.pdf,,
2022-10-03,Non-Wells Fargo ATM Transaction Fee,-2.50,103122 WellsFargo.pdf,,
2022-10-03,Pwp Github Privacycom,-10.00,103122 WellsFargo.pdf,,
2022-10-03,Mortgage Serv CT Mtg Paymt 100122,-5000.00,103122 WellsFargo.pdf,,
2022-10-03,Check #1001,-3210.00,103122 WellsFargo.pdf,264104.90,
2022-10-04,Purchase - Erewhon Market Stuido City CA,-23.03,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Apple Store #R034 Pasadena CA,-693.47,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Tst* Intelligentsi Pasadena CA,-3.31,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Tst* Dog Haus - Ol Pasadena CA,-30.40,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,103122 WellsFargo.pdf,,
2022-10-04,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-14.99,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Tesla Inc Supercha 877-7983752 CA,-20.79,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Sq *Salt & Straw Pasadena CA,-16.23,103122 WellsFargo.pdf,,
2022-10-04,Purchase - Laz Parking 670600 Pasadena CA,-10.00,103122 WellsFargo.pdf,,
2022-10-04,Pwp Amazon.Com* Privacycom,-10.61,103122 WellsFargo.pdf,,
