Date,Description,Amount,Source,Balance,Notes
2022-06-01,Pwp Amazon Tips Privacycom,-7.00,063022 WellsFargo.pdf,,
2022-06-01,Pwp Amazon Tips Privacycom,-10.00,063022 WellsFargo.pdf,206095.60,
2022-06-02,Pwp Amzn Mktp U Privacycom,-32.16,063022 WellsFargo.pdf,,
2022-06-02,Business to Business ACH Debit - Lowes Brc CC Lowtelpay,-427.51,063022 WellsFargo.pdf,,
2022-06-02,Mortgage Serv CT Mtg Paymt 060122,-5000.00,063022 WellsFargo.pdf,200635.93,
2022-06-03,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.00,063022 WellsFargo.pdf,,
2022-06-03,Wire Trans Svc Charge,-15.00,063022 WellsFargo.pdf,,
2022-06-03,Purchase - Uber Eats Help.Uber.Com CA,-134.99,063022 WellsFargo.pdf,,
2022-06-03,Pwp Chainstack Privacycom,-49.00,063022 WellsFargo.pdf,,
2022-06-03,Pwp Amazon.Com* Privacycom,-124.82,063022 WellsFargo.pdf,203312.12,
2022-06-06,Purchase - Apple.Com/Bill 408-974-1010 CA,-17.98,063022 WellsFargo.pdf,,
2022-06-06,Purchase - Uber Eats Help.Uber.Com CA,-102.50,063022 WellsFargo.pdf,,
2022-06-06,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-74.99,063022 WellsFargo.pdf,,
2022-06-06,Purchase - Wholefds Val 10178 Santa Clarita CA,-36.46,063022 WellsFargo.pdf,,
2022-06-06,Purchase - Tst* Kabuki - Vale Valencia CA,-40.94,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amazon Tips Privacycom,-7.00,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amazon Tips Privacycom,-10.00,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amzn Mktp U Privacycom,-58.99,063022 WellsFargo.pdf,,
2022-06-06,Pwp Quicknode A Privacycom,-99.00,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amazon.Com* Privacycom,-169.70,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amazon.Com* Privacycom,-193.04,063022 WellsFargo.pdf,,
2022-06-06,Pwp Amzn Mktp U Privacycom,-268.07,063022 WellsFargo.pdf,202233.45,
2022-06-07,Purchase - Uber Trip Help.Uber.Com CA,-30.96,063022 WellsFargo.pdf,202202.49,
2022-06-08,Medium.Com Medium.Com,0.32,063022 WellsFargo.pdf,,
2022-06-08,WT Fed - Jpmorgan Chase Ban - Popstand Inc,5000.00,063022 WellsFargo.pdf,,
2022-06-08,WT Fed - Jpmorgan Chase Ban - Popstand Inc,6500.00,063022 WellsFargo.pdf,,
2022-06-08,Wire Trans Svc Charge,-15.00,063022 WellsFargo.pdf,,
2022-06-08,Wire Trans Svc Charge,-15.00,063022 WellsFargo.pdf,,
2022-06-08,Purchase - Uber Eats Help.Uber.Com CA,-120.37,063022 WellsFargo.pdf,,
2022-06-08,Purchase - Apple.Com/Bill 800-275-2273 CA,-103.96,063022 WellsFargo.pdf,,
2022-06-08,Purchase - Tesla_US_Service 877-7983752 CA,-50.00,063022 WellsFargo.pdf,,
2022-06-08,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-39.99,063022 WellsFargo.pdf,,
