Date,Description,Amount,Source,Balance,Notes
2022-03-01,Beginning Balance,,033122 WellsFargo.pdf,229866.93,
2022-03-01,Gusto Pay 026346 220301,5204.60,033122 WellsFargo.pdf,,
2022-03-01,Pymnts Dapper Online Gbr,-1051.88,033122 WellsFargo.pdf,,
2022-03-01,Pwp Amazon Tips Privacycom TN: 5564999,-5.00,033122 WellsFargo.pdf,,
2022-03-01,Pwp Google*Doma Privacycom TN: 3792512,-6.00,033122 WellsFargo.pdf,,
2022-03-01,Pwp Amazon.Com* Privacycom TN: 8936523,-164.52,033122 WellsFargo.pdf,,
2022-03-01,Chase Credit Crd Epay 220227,-1134.73,033122 WellsFargo.pdf,,
2022-03-01,Chase Credit Crd Epay 220228,-1134.73,033122 WellsFargo.pdf,231574.67,
2022-03-02,Wholefds Val 10178 Santa Clarita CA,-131.05,033122 WellsFargo.pdf,,
2022-03-02,Pwp Slack T0265 Privacycom TN: 2365926,-8.00,033122 WellsFargo.pdf,,
2022-03-02,Pwp Amazon.Com* Privacycom TN: 9069649,-225.21,033122 WellsFargo.pdf,231210.41,
2022-03-03,Apple.Com/Bill 866-712-7753 CA,-78.97,033122 WellsFargo.pdf,,
2022-03-03,Geico *Auto 800-841-3000 DC,-195.98,033122 WellsFargo.pdf,,
2022-03-03,Wholefds Brt 10074 Los Angeles CA,-15.13,033122 WellsFargo.pdf,,
2022-03-03,Uber Trip Help.Uber.Com CA,-76.93,033122 WellsFargo.pdf,,
2022-03-03,Pwp Amazon Tips Privacycom TN: 4199377,-10.00,033122 WellsFargo.pdf,,
2022-03-03,Pwp Amzn Mktp U Privacycom TN: 6436560,-31.05,033122 WellsFargo.pdf,,
2022-03-03,Pwp Chainstack Privacycom TN: 7579096,-49.00,033122 WellsFargo.pdf,,
2022-03-03,Pwp Amazon.Com* Privacycom TN: 3339342,-64.11,033122 WellsFargo.pdf,,
2022-03-03,Pwp Amzn Mktp U Privacycom TN: 8101539,-84.03,033122 WellsFargo.pdf,230605.21,
2022-03-04,Pwp Quicknode A Privacycom TN: 2732147,-99.00,033122 WellsFargo.pdf,230506.21,
2022-03-07,Wholefds Val 10178 Santa Clarita CA,-19.33,033122 WellsFargo.pdf,,
2022-03-07,Apple.Com/Bill 866-712-7753 CA,-89.98,033122 WellsFargo.pdf,,
2022-03-07,Erewhon Los Angeles Los Angeles CA,-23.71,033122 WellsFargo.pdf,,
2022-03-07,Recurring Payment authorized on 03/05 Apple.Com/Bill,-74.99,033122 WellsFargo.pdf,,
2022-03-07,Erewhon Los Angeles CA,-101.31,033122 WellsFargo.pdf,230196.89,
