Date,Description,Amount,Source,Balance,Notes
2022-04-01,Purchase - Uber Trip Help.Uber.Com CA,-46.84,043022 WellsFargo.pdf,,
2022-04-01,Zelle to Juan,-60.00,043022 WellsFargo.pdf,,
2022-04-01,Pwp Amzn Mktp U Privacycom,-34.30,043022 WellsFargo.pdf,,
2022-04-01,Pwp Amzn Mktp U Privacycom,-42.20,043022 WellsFargo.pdf,,
2022-04-01,Pwp Amzn Mktp U Privacycom,-1767.46,043022 WellsFargo.pdf,234958.37,
2022-04-04,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.00,043022 WellsFargo.pdf,,
2022-04-04,Wire Trans Svc Charge,-15.00,043022 WellsFargo.pdf,,
2022-04-04,Purchase - Pymnts Dapper Online Gbr,-12.94,043022 WellsFargo.pdf,,
2022-04-04,Purchase - Wholefds Val 10178 Santa Clarita CA,-170.33,043022 WellsFargo.pdf,,
2022-04-04,Purchase - Remitly* Abb7 WWW.Remitly.C WA,-190.99,043022 WellsFargo.pdf,,
2022-04-04,Purchase - Uber Trip Help.Uber.Com CA,-34.64,043022 WellsFargo.pdf,,
2022-04-04,Purchase - Wholefds Val 10178 Santa Clarita CA,-21.98,043022 WellsFargo.pdf,,
2022-04-04,Pwp Amazon Tips Privacycom,-7.00,043022 WellsFargo.pdf,,
2022-04-04,Pwp Chainstack Privacycom,-49.00,043022 WellsFargo.pdf,,
2022-04-04,Pwp Slack T0265 Privacycom,-60.01,043022 WellsFargo.pdf,,
2022-04-04,Pwp Amazon.Com* Privacycom,-76.57,043022 WellsFargo.pdf,,
2022-04-04,Pwp Amzn Mktp U Privacycom,-213.43,043022 WellsFargo.pdf,,
2022-04-04,Mortgage Serv CT Mtg Paymt 040122,-4479.20,043022 WellsFargo.pdf,,
2022-04-04,Pwp Amzn Mktp U Privacycom,-128.68,043022 WellsFargo.pdf,232498.60,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-88.97,043022 WellsFargo.pdf,,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-34.98,043022 WellsFargo.pdf,,
2022-04-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,043022 WellsFargo.pdf,,
2022-04-05,Pwp Amzn Digita Privacycom,-9.99,043022 WellsFargo.pdf,,
2022-04-05,Pwp Amzn Digita Privacycom,-13.24,043022 WellsFargo.pdf,,
2022-04-05,Pwp Amzn Mktp U Privacycom,-38.60,043022 WellsFargo.pdf,,
2022-04-05,Pwp Amzn Mktp U Privacycom,-64.30,043022 WellsFargo.pdf,,
2022-04-05,Pwp Quicknode A Privacycom,-99.00,043022 WellsFargo.pdf,,
2022-04-05,Chase Credit Crd Epay,-1109.03,043022 WellsFargo.pdf,230965.50,
2022-04-06,So Cal Gas Paid,-49.46,043022 WellsFargo.pdf,,
2022-04-06,Pwp Twitter Onl Privacycom,-64.22,043022 WellsFargo.pdf,,
2022-04-06,Pwp Amzn Mktp U Privacycom,-90.04,043022 WellsFargo.pdf,,
2022-04-06,Pwp Amzn Mktp U Privacycom,-128.69,043022 WellsFargo.pdf,230633.09,
2022-04-07,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-7.99,043022 WellsFargo.pdf,,
2022-04-07,Pwp Amzn Mktp U Privacycom,-7.48,043022 WellsFargo.pdf,,
2022-04-07,Pwp Amazon.Com* Privacycom,-114.94,043022 WellsFargo.pdf,,
2022-04-07,So Cal Edison CO Bill Paymt,-125.35,043022 WellsFargo.pdf,,
