Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-05-02,Purchase - Apple.Com/Bill 866-712-7753 CA,,78.97,,Debit,,
2022-05-02,Purchase - Vons #2442 Fillmore CA,,64.48,,Debit,,
2022-05-02,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-05-02,Pwp Amazon.Com* Privacycom,,24.66,,Debit,,
2022-05-02,Pwp Amazon.Com* Privacycom,,91.4,,Debit,,
2022-05-02,Pwp Amazon.Com* Privacycom,,116.01,,Debit,,
2022-05-02,Pwp Amzn Mktp U Privacycom,,181.25,208367.64,Debit,,
2022-05-03,Purchase - Wholefds Val 10178 Santa Clarita CA,,70.46,,Debit,,
2022-05-03,Purchase - Tesla Inc Supercha 877-7983752 CA,,15.62,,Debit,,
2022-05-03,Purchase - Tesla Inc Supercha 877-7983752 CA,,20.16,,Debit,,
2022-05-03,Purchase - Uber Trip Help.Uber.Com CA,,38.25,,Debit,,
2022-05-03,Purchase - Ikea Burbank Burbank CA,,1725.35,,Debit,,
2022-05-03,Pwp Amzn Mktp U Privacycom,,17.13,,Debit,,
2022-05-03,Pwp Amazon.Com* Privacycom,,29.45,,Debit,,
2022-05-03,Pwp Chainstack Privacycom,,49.0,,Debit,,
2022-05-03,Mortgage Serv CT Mtg Paymt 050122,,5000.0,201402.22,Debit,,
2022-05-04,Purchase - Apple.Com/Bill 866-712-7753 CA,,14.99,,Debit,,
2022-05-04,Purchase - Lugg Lugg.Com CA,,208.0,,Debit,,
2022-05-04,Purchase - Remitly* J8Ec WWW.Remitly.C WA,,337.99,,Debit,,
2022-05-04,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-05-04,Pwp Quicknode A Privacycom,,99.0,,Debit,,
2022-05-04,Pwp Twitter Onl Privacycom,,115.45,,Debit,,
2022-05-04,Wells Fargo Auto Fee & Pmts,,602.0,200017.79,Debit,,
2022-05-05,Purchase - Apple.Com/Bill 800-275-2273 CA,,109.97,,Debit,,
2022-05-05,Pwp Amazon.Com* Privacycom,,55.32,,Debit,,
2022-05-05,Pwp Amazon.Com* Privacycom,,122.86,199729.64,Debit,,
2022-05-06,WT Fed - Jpmorgan Chase Ban - Popstand Inc,5000.0,,,Credit,,
2022-05-06,Wire Trans Svc Charge,,15.0,,Debit,,
2022-05-06,Purchase - Wabi on Rose Venice CA,,167.06,,Debit,,
2022-05-06,Purchase - Apple Store #R154 Thousand Oaks CA,,567.35,,Debit,,
2022-05-06,So Cal Gas Paid,,49.58,,Debit,,
2022-05-06,Pwp Hivelocity Privacycom,,150.68,203779.97,Debit,,
2022-05-09,Medium.Com Medium.Com,0.01,,,Credit,,
