Date,Description,Amount,Source,Balance,Notes
2022-07-01,Purchase Return - Best Buy 0000 Thousand Oaks CA,80.10,073122 WellsFargo.pdf,,
2022-07-01,Purchase - Uber Trip Help.Uber.Com CA,-59.62,073122 WellsFargo.pdf,,
2022-07-01,Pwp Amazon Tips Privacycom,-7.00,073122 WellsFargo.pdf,,
2022-07-01,Pwp Amzn Mktp U Privacycom,-32.16,073122 WellsFargo.pdf,,
2022-07-01,Pwp Amzn Mktp U Privacycom,-136.20,073122 WellsFargo.pdf,,
2022-07-01,Pwp Amazon.Com* Privacycom,-231.73,073122 WellsFargo.pdf,201994.75,
2022-07-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-3.98,073122 WellsFargo.pdf,,
2022-07-05,Purchase - Sp Shopdoodles * S Shop.Doodles. WY,-774.31,073122 WellsFargo.pdf,,
2022-07-05,Purchase - Sp Shopdoodles * S Shop.Doodles. WY,-202.79,073122 WellsFargo.pdf,,
2022-07-05,Purchase - Erewhon Market Stuido City CA,-39.73,073122 WellsFargo.pdf,,
2022-07-05,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,-14.99,073122 WellsFargo.pdf,,
2022-07-05,Zelle to Ricky,-260.00,073122 WellsFargo.pdf,,
2022-07-05,Zelle to Ricky,-200.00,073122 WellsFargo.pdf,,
2022-07-05,Purchase - Uber Eats Help.Uber.Com CA,-103.07,073122 WellsFargo.pdf,,
2022-07-05,Mortgage Serv CT Mtg Paymt 070122,-5000.00,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amazon Tips Privacycom,-7.00,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amazon.Com* Privacycom,-7.28,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amazon Tips Privacycom,-10.00,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amazon.Com* Privacycom,-41.08,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amzn Mktp U Privacycom,-87.17,073122 WellsFargo.pdf,,
2022-07-05,Pwp Quicknode A Privacycom,-99.00,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amzn Mktp U Privacycom,-108.11,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amazon.Com* Privacycom,-140.36,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amzn Mktp U Privacycom,-171.54,073122 WellsFargo.pdf,,
2022-07-05,Pwp Amzn Mktp U Privacycom,-328.16,073122 WellsFargo.pdf,194396.18,
2022-07-06,WT Fed - Jpmorgan Chase Ban - Popstand Inc,5000.00,073122 WellsFargo.pdf,,
2022-07-06,Wire Trans Svc Charge,-15.00,073122 WellsFargo.pdf,,
