Date,Description,Amount,Source,Balance,Notes
2022-12-01,Purchase - Laz Parking 670600 Pasadena CA,-10.00,123122 WellsFargo.pdf,,
2022-12-01,Pwp Amazon Tips Privacycom,-5.00,123122 WellsFargo.pdf,,
2022-12-01,Pwp Github Privacycom,-10.00,123122 WellsFargo.pdf,,
2022-12-01,Pwp Amzn Mktp U Privacycom,-29.16,123122 WellsFargo.pdf,,
2022-12-01,Pwp Amzn Mktp U Privacycom,-90.64,123122 WellsFargo.pdf,,
2022-12-01,Mortgage Serv CT Mtg Paymt 120122,-5000.00,123122 WellsFargo.pdf,271611.57,
2022-12-02,Purchase - Tst* Sushi Roku - Pasadena CA,-100.51,123122 WellsFargo.pdf,,
2022-12-02,Purchase - Apple.Com/Bill 866-712-7753 CA,-4.98,123122 WellsFargo.pdf,,
2022-12-02,Pwp Amazon.Com* Privacycom,-24.07,123122 WellsFargo.pdf,,
2022-12-02,Pwp Quicknode A Privacycom,-49.00,123122 WellsFargo.pdf,,
2022-12-02,Pwp Amzn Mktp U Privacycom,-73.99,123122 WellsFargo.pdf,271359.02,
2022-12-05,Pwp Amazon.Com Privacycom,-4.73,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-78.98,123122 WellsFargo.pdf,,
2022-12-05,Purchase - City of Pasadena 704-817-2500 NC,-2.28,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Uber Eats Help.Uber.Com CA,-54.26,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Tesla Inc Supercha 877-7983752 CA,-14.43,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Pasadena Parking - Pasadena CA,-3.00,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Uber Eats Help.Uber.Com CA,-37.12,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Apple.Com/Bill 866-712-7753 CA,-89.98,123122 WellsFargo.pdf,,
2022-12-05,Purchase - Wholefds Arr 10237 Pasadena CA,-14.18,123122 WellsFargo.pdf,,
2022-12-05,Zelle to Ed,-100.00,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amazon Tips Privacycom,-5.00,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amazon Tips Privacycom,-7.00,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amazon.Com* Privacycom,-47.55,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amzn Mktp U Privacycom,-48.22,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amazon.Com* Privacycom,-85.99,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amazon.Com* Privacycom,-95.24,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amzn Mktp U Privacycom,-616.63,123122 WellsFargo.pdf,,
2022-12-05,Pwp Amzn Mktp U Privacycom,-809.09,123122 WellsFargo.pdf,,
2022-12-05,So Cal Gas Paid,-38.94,123122 WellsFargo.pdf,269215.86,
2022-12-06,WT Fed - Jpmorgan Chase Ban - Popstand Inc,4000.00,123122 WellsFargo.pdf,,
2022-12-06,Wire Trans Svc Charge,-15.00,123122 WellsFargo.pdf,,
2022-12-06,Purchase - P3 Lax Smartparkin Los Angeles CA,-9.00,123122 WellsFargo.pdf,,
2022-12-06,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-74.99,123122 WellsFargo.pdf,,
2022-12-06,Purchase - Cvs/Pharm 09721--1401 Arcadia CA,-51.01,123122 WellsFargo.pdf,,
2022-12-06,Pwp Dnh*Godaddy Privacycom,-20.17,123122 WellsFargo.pdf,,
2022-12-06,Pwp Amazon.Com* Privacycom,-90.94,123122 WellsFargo.pdf,272954.75,
2022-12-07,Medium.Com Medium.Com,0.01,123122 WellsFargo.pdf,,
2022-12-07,Purchase - Laz Parking 670600 Pasadena CA,-14.00,123122 WellsFargo.pdf,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,-47.87,123122 WellsFargo.pdf,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,-39.92,123122 WellsFargo.pdf,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,-69.87,123122 WellsFargo.pdf,,
2022-12-07,Pwp Amazon Tips Privacycom,-7.00,123122 WellsFargo.pdf,,
2022-12-07,Pwp Amzn Mktp U Privacycom,-41.50,123122 WellsFargo.pdf,,
2022-12-07,Pwp Amazon.Com* Privacycom,-109.43,123122 WellsFargo.pdf,,
2022-12-07,Check #4632,-3257.17,123122 WellsFargo.pdf,269368.00,
2022-12-08,Purchase - Ipic Pasadena - Ci Pasadena CA,-40.25,123122 WellsFargo.pdf,,
2022-12-08,Purchase - Apple.Com/Bill 866-712-7753 CA,-87.97,123122 WellsFargo.pdf,,
2022-12-08,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-39.99,123122 WellsFargo.pdf,,
2022-12-08,Pwp Amazon Tips Privacycom,-7.00,123122 WellsFargo.pdf,,
2022-12-08,Pwp Amz*Tipsy E Privacycom,-69.01,123122 WellsFargo.pdf,,
2022-12-08,Pwp Amz*Tipsy E Privacycom,-77.54,123122 WellsFargo.pdf,,
2022-12-08,Pwp Amazon.Com* Privacycom,-113.88,123122 WellsFargo.pdf,268932.36,
2022-12-09,Recurring Payment - Google *Google Sto 855-836-3987 CA,-1.99,123122 WellsFargo.pdf,,
2022-12-09,Purchase - Pasadena Parking - Pasadena CA,-3.00,123122 WellsFargo.pdf,,
2022-12-09,Purchase - Tst* Tatsu - Pasad Pasadena CA,-50.15,123122 WellsFargo.pdf,,
2022-12-09,Pwp Amazon Tips Privacycom,-7.00,123122 WellsFargo.pdf,,
2022-12-09,Pwp Amazon.Com* Privacycom,-10.66,123122 WellsFargo.pdf,,
2022-12-09,Pwp Netflix Privacycom,-15.49,123122 WellsFargo.pdf,,
2022-12-09,Pwp Amazon.Com* Privacycom,-30.71,123122 WellsFargo.pdf,,
2022-12-09,Business to Business ACH Debit - Lowes Brc CC Lowtelpay,-376.96,123122 WellsFargo.pdf,,
2022-12-09,Pwp Heroku Nov- Privacycom,-256.49,123122 WellsFargo.pdf,268179.91,
2022-12-12,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2000.00,123122 WellsFargo.pdf,,
2022-12-12,Wire Trans Svc Charge,-15.00,123122 WellsFargo.pdf,,
2022-12-12,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-24.99,123122 WellsFargo.pdf,,
2022-12-12,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-6.99,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Laz Parking 670600 Pasadena CA,-4.00,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Ipic Pasadena - Ci Pasadena CA,-49.14,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Ipic Pasadena - Ci Pasadena CA,-28.67,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Laz Parking 670600 Pasadena CA,-10.00,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Uber Eats Help.Uber.Com CA,-51.08,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Wholefds Arr 10237 Pasadena CA,-26.23,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Vans #0210 Pasadena CA,-42.06,123122 WellsFargo.pdf,,
2022-12-12,Purchase - New York Pizzeria Los Angeles CA,-11.00,123122 WellsFargo.pdf,,
2022-12-12,Purchase - New York Pizzeria Los Angeles CA,-8.21,123122 WellsFargo.pdf,,
2022-12-12,Purchase - The Aster - F&B 310-3515121 CA,-20.81,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Uber Trip Help.Uber.Com CA,-21.22,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Uber Eats Help.Uber.Com CA,-58.96,123122 WellsFargo.pdf,,
2022-12-12,Purchase - Tesla Inc Supercha 877-7983752 CA,-8.14,123122 WellsFargo.pdf,,
2022-12-12,Recurring Payment - Tesla Inc. Palo Alto CA,-9.99,123122 WellsFargo.pdf,,
2022-12-12,Pwp Amazon Tips Privacycom,-5.00,123122 WellsFargo.pdf,,
2022-12-12,Pwp Dnh*Godaddy Privacycom,-20.17,123122 WellsFargo.pdf,,
2022-12-12,Venmo Payment,-30.00,123122 WellsFargo.pdf,,
2022-12-12,Pwp Heroku Nov- Privacycom,-97.10,123122 WellsFargo.pdf,,
2022-12-12,Stash Capital (S ACH,-3.00,123122 WellsFargo.pdf,269628.15,
2022-12-13,Purchase - Apple.Com/Bill 866-712-7753 CA,-3.99,123122 WellsFargo.pdf,,
2022-12-13,Purchase - Pasadena Parking - Pasadena CA,-1.50,123122 WellsFargo.pdf,,
2022-12-13,Pwp Dnh*Godaddy Privacycom,-26.17,123122 WellsFargo.pdf,,
