Date,Description,Amount,Source,Balance,Notes
2022-09-01,Purchase - Apple.Com/Bill 866-712-7753 CA,-82.96,093022 WellsFargo.pdf,,
2022-09-01,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-01,Purchase - Target 0000 Pasadena CA,-185.30,093022 WellsFargo.pdf,,
2022-09-01,Purchase - Wholefds Arr 10237 Pasadena CA,-16.99,093022 WellsFargo.pdf,,
2022-09-01,Purchase - Tesla Inc Supercha 877-7983752 CA,-9.14,093022 WellsFargo.pdf,,
2022-09-01,Purchase - Laz Parking 670600 Pasadena CA,-10.00,093022 WellsFargo.pdf,,
2022-09-01,Pwp Dnh*Godaddy Privacycom,-24.99,093022 WellsFargo.pdf,,
2022-09-01,Mortgage Serv CT Mtg Paymt 090122,-5000.00,093022 WellsFargo.pdf,254218.32,
2022-09-02,Purchase - Pasadena Parking - Pasadena CA,-3.00,093022 WellsFargo.pdf,,
2022-09-02,Purchase - Tst* Sushi Roku - Pasadena CA,-123.74,093022 WellsFargo.pdf,,
2022-09-02,Pwp Amazon.Com* Privacycom,-90.09,093022 WellsFargo.pdf,254001.49,
2022-09-06,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.00,093022 WellsFargo.pdf,,
2022-09-06,Legal Order Debit - Franchise Tax Board,-96.87,093022 WellsFargo.pdf,,
2022-09-06,Wire Trans Svc Charge,-15.00,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Sp Vapor95 Vapor95.Com NJ,-47.02,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Geico *Nonrecurrin 800-841-3000 DC,-270.07,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Pymnts Dapper Online Gbr,-184.52,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Pymnts Dapper Online Gbr,-203.46,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Wholefds Val 10178 Santa Clarita CA,-20.53,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Apple.Com/Bill 866-712-7753 CA,-89.98,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Uber Eats Help.Uber.Com CA,-151.31,093022 WellsFargo.pdf,,
2022-09-06,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Wholefds Arr 10237 Pasadena CA,-58.97,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Equinox #701 8663326549 CA,-170.83,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Tesla Inc Supercha 877-7983752 CA,-6.61,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Warby Parker 888-4927297 NY,-104.74,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Ipic* Pasadena WWW.Ipic.Com FL,-43.50,093022 WellsFargo.pdf,,
2022-09-06,Purchase - Laz Parking 670600 Pasadena CA,-10.00,093022 WellsFargo.pdf,,
2022-09-06,Pwp Amazon Tips Privacycom,-7.00,093022 WellsFargo.pdf,,
2022-09-06,Pwp Dnh*Godaddy Privacycom,-9.63,093022 WellsFargo.pdf,,
2022-09-06,Pwp Amazon Tips Privacycom,-10.00,093022 WellsFargo.pdf,,
2022-09-06,Pwp Fireship PR Privacycom,-25.00,093022 WellsFargo.pdf,,
2022-09-06,Pwp Quicknode A Privacycom,-99.00,093022 WellsFargo.pdf,,
2022-09-06,Pwp Amazon.Com* Privacycom,-161.62,093022 WellsFargo.pdf,,
2022-09-06,Wells Fargo Auto Fee & Pmts,-602.00,093022 WellsFargo.pdf,,
2022-09-06,So Cal Gas Paid,-35.16,093022 WellsFargo.pdf,254503.68,
2022-09-07,Purchase - Pasadena Parking - Pasadena CA,-1.50,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Crossroads Trading Pasadena CA,-38.44,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Tst* Intelligentsi Pasadena CA,-5.58,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Tst* Intelligentsi Pasadena CA,-4.08,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Apple Store #R034 Pasadena CA,-176.34,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Apple.Com/Bill 408-974-1010 CA,-27.97,093022 WellsFargo.pdf,,
2022-09-07,Purchase - H&M0483 Pasadena CA,-95.84,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Wholefds Arr 10237 Pasadena CA,-16.99,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Wholefds Arr 10237 Pasadena CA,-1.74,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Wholefds Arr 10237 Pasadena CA,-25.01,093022 WellsFargo.pdf,,
2022-09-07,Purchase Bank Check OR Draft,-2500.00,093022 WellsFargo.pdf,,
2022-09-07,Cash eWithdrawal in Branch/Store,-760.00,093022 WellsFargo.pdf,,
2022-09-07,Purchase - Vans #0210 Pasadena CA,-147.74,093022 WellsFargo.pdf,250627.46,
2022-09-08,Purchase - Ipic Pasadena - Ci Pasadena CA,-56.86,093022 WellsFargo.pdf,,
2022-09-08,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-42.98,093022 WellsFargo.pdf,,
2022-09-08,Purchase - Wholefds Arr 10237 Pasadena CA,-20.33,093022 WellsFargo.pdf,250507.29,
2022-09-09,Recurring Payment - Google *Google Sto 855-836-3987 CA,-1.99,093022 WellsFargo.pdf,,
2022-09-09,Purchase - Apple Store #R034 Pasadena CA,-252.47,093022 WellsFargo.pdf,,
2022-09-09,Purchase - Uber Trip Help.Uber.Com CA,-41.69,093022 WellsFargo.pdf,,
2022-09-09,Purchase - Uber Trip Help.Uber.Com CA,-42.83,093022 WellsFargo.pdf,,
2022-09-09,Purchase - Pasadena Parking - Pasadena CA,-3.00,093022 WellsFargo.pdf,,
2022-09-09,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-24.99,093022 WellsFargo.pdf,,
2022-09-09,Pwp Netflix.Com Privacycom,-15.49,093022 WellsFargo.pdf,,
2022-09-09,Chase Credit Crd Epay,-2898.30,093022 WellsFargo.pdf,247226.53,
2022-09-12,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-4.99,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Ikea Burbank Burbank CA,-936.02,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Wholefds Arr 10237 Pasadena CA,-20.53,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Lugg Lugg.Com CA,-41.00,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Wholefds Arr 10237 Pasadena CA,-32.06,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Look Cinemas - Mon Monrovia CA,-33.90,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Apple.Com/Bill 866-712-7753 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Tst* The Blind Don Pasadena CA,-21.43,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Tst* The Blind Don Pasadena CA,-19.24,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Crave Cafe Pasaden Pasadena CA,-7.70,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Tesla Inc Supercha 877-7983752 CA,-11.02,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Pasadena Parking - Pasadena CA,-7.50,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Ic* Instacart Httpsinstacar CA,-66.76,093022 WellsFargo.pdf,,
2022-09-12,Purchase - Uber Eats Help.Uber.Com CA,-151.39,093022 WellsFargo.pdf,,
2022-09-12,Recurring Payment - Tesla Inc. Palo Alto CA,-9.99,093022 WellsFargo.pdf,,
2022-09-12,Stash Capital (S ACH,-3.00,093022 WellsFargo.pdf,,
2022-09-12,Pwp Amazon Tips Privacycom,-5.00,093022 WellsFargo.pdf,,
2022-09-12,Pwp Amazon.Com* Privacycom,-21.44,093022 WellsFargo.pdf,,
2022-09-12,Pwp Amazon.Com* Privacycom,-21.44,093022 WellsFargo.pdf,,
2022-09-12,Pwp Amazon.Com* Privacycom,-57.91,093022 WellsFargo.pdf,,
2022-09-12,Pwp Amazon.Com* Privacycom,-83.87,093022 WellsFargo.pdf,,
2022-09-12,So Cal Edison CO Bill Paymt,-341.57,093022 WellsFargo.pdf,,
2022-09-12,Check #1,-710.00,093022 WellsFargo.pdf,244468.79,
2022-09-13,Purchase - Erewhon Los Angeles CA,-36.97,093022 WellsFargo.pdf,,
2022-09-13,Purchase - Erewhon Los Angeles CA,-27.54,093022 WellsFargo.pdf,,
2022-09-13,Purchase - Pasadena Parking - Pasadena CA,-6.00,093022 WellsFargo.pdf,,
2022-09-13,Pwp Heroku Aug- Privacycom,-265.92,093022 WellsFargo.pdf,244132.36,
2022-09-14,WT Fed - Jpmorgan Chase Ban - Popstand Inc,6000.00,093022 WellsFargo.pdf,,
2022-09-14,Wire Trans Svc Charge,-15.00,093022 WellsFargo.pdf,,
2022-09-14,Business to Business ACH Debit - Rocket Money Premium,-7.00,093022 WellsFargo.pdf,,
2022-09-14,Pwp Heroku Aug- Privacycom,-102.13,093022 WellsFargo.pdf,,
2022-09-14,Pwp Amazon.Com* Privacycom,-144.12,093022 WellsFargo.pdf,249864.11,
2022-09-15,Popstand Inc Payroll,2210.83,093022 WellsFargo.pdf,,
2022-09-15,Gusto Pay 875785,10524.70,093022 WellsFargo.pdf,,
2022-09-15,Purchase - Apple.Com/Bill 800-275-2273 CA,-19.99,093022 WellsFargo.pdf,,
2022-09-15,Pwp Amazon Tips Privacycom,-7.00,093022 WellsFargo.pdf,,
2022-09-15,Pwp Amzn Mktp U Privacycom,-130.06,093022 WellsFargo.pdf,262442.59,
2022-09-16,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-9.99,093022 WellsFargo.pdf,,
2022-09-16,Purchase - Ikea Burbank Burbank CA,-424.35,093022 WellsFargo.pdf,,
2022-09-16,Pwp Google *Dom Privacycom,-12.00,093022 WellsFargo.pdf,,
2022-09-16,Pwp Google *Dom Privacycom,-12.00,093022 WellsFargo.pdf,,
2022-09-16,Pwp Amazon.Com* Privacycom,-45.67,093022 WellsFargo.pdf,,
2022-09-16,Pwp Amazon.Com* Privacycom,-122.49,093022 WellsFargo.pdf,,
2022-09-16,Check #2,-25.00,093022 WellsFargo.pdf,,
2022-09-16,Check #3,-392.00,093022 WellsFargo.pdf,261399.09,
2022-09-19,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-12.99,093022 WellsFargo.pdf,,
2022-09-19,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-4.99,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Wholefds Arr 10237 Pasadena CA,-225.59,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Tst* Sushi Roku - Pasadena CA,-119.82,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Laz Parking 670600 Pasadena CA,-10.00,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Pasadena Parking - Pasadena CA,-12.00,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Apple.Com/Bill 800-275-2273 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Apple.Com/Bill 800-275-2273 CA,-74.99,093022 WellsFargo.pdf,,
2022-09-19,Purchase - H&M0483 Pasadena CA,-64.96,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Tst* Teru Sushi Studio City CA,-94.62,093022 WellsFargo.pdf,,
2022-09-19,Purchase - Gelson's Markets # Valley Villag CA,-8.97,093022 WellsFargo.pdf,,
2022-09-19,Purchase - H&M0483 Pasadena CA,-26.44,093022 WellsFargo.pdf,,
2022-09-19,Pwp Amazon Tips Privacycom,-7.00,093022 WellsFargo.pdf,,
2022-09-19,Pwp Blink Privacycom,-10.00,093022 WellsFargo.pdf,,
2022-09-19,Pwp Amazon.Com* Privacycom,-107.16,093022 WellsFargo.pdf,260544.57,
2022-09-20,Purchase - Pasadena Parking - Pasadena CA,-7.50,093022 WellsFargo.pdf,,
2022-09-20,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-2.99,093022 WellsFargo.pdf,,
2022-09-20,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-2.99,093022 WellsFargo.pdf,,
2022-09-20,Purchase - Kumadori Sushi Glendale CA,-134.68,093022 WellsFargo.pdf,,
2022-09-20,Pwp Dnh*Godaddy Privacycom,-26.80,093022 WellsFargo.pdf,260369.61,
2022-09-21,WT Fed - Jpmorgan Chase Ban - Popstand Inc,4000.00,093022 WellsFargo.pdf,,
2022-09-21,Wire Trans Svc Charge,-15.00,093022 WellsFargo.pdf,,
2022-09-21,Purchase - Sprinkles #317 Glendale CA,-10.90,093022 WellsFargo.pdf,,
2022-09-21,Purchase - Tesla Inc Supercha 877-7983752 CA,-9.86,093022 WellsFargo.pdf,,
2022-09-21,Purchase - Pasadena Parking - Pasadena CA,-3.00,093022 WellsFargo.pdf,,
2022-09-21,Purchase - H&M0483 Pasadena CA,-11.01,093022 WellsFargo.pdf,,
2022-09-21,Purchase - Wholefds Arr 10237 Pasadena CA,-1.74,093022 WellsFargo.pdf,,
