Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-12-01,Purchase - Laz Parking 670600 Pasadena CA,,10.0,,Debit,,
2022-12-01,Pwp Amazon Tips Privacycom,,5.0,,Debit,,
2022-12-01,Pwp Github Privacycom,,10.0,,Debit,,
2022-12-01,Pwp Amzn Mktp U Privacycom,,29.16,,Debit,,
2022-12-01,Pwp Amzn Mktp U Privacycom,,90.64,,Debit,,
2022-12-01,Mortgage Serv CT Mtg Paymt 120122,,5000.0,271611.57,Debit,,
2022-12-02,Purchase - Tst* Sushi Roku - Pasadena CA,,100.51,,Debit,,
2022-12-02,Purchase - Apple.Com/Bill 866-712-7753 CA,,4.98,,Debit,,
2022-12-02,Pwp Amazon.Com* Privacycom,,24.07,,Debit,,
2022-12-02,Pwp Quicknode A Privacycom,,49.0,,Debit,,
2022-12-02,Pwp Amzn Mktp U Privacycom,,73.99,271359.02,Debit,,
2022-12-05,Pwp Amazon.Com Privacycom,,4.73,,Debit,,
2022-12-05,Purchase - Apple.Com/Bill 866-712-7753 CA,,78.98,,Debit,,
2022-12-05,Purchase - City of Pasadena 704-817-2500 NC,,2.28,,Debit,,
2022-12-05,Purchase - Uber Eats Help.Uber.Com CA,,54.26,,Debit,,
2022-12-05,Purchase - Tesla Inc Supercha 877-7983752 CA,,14.43,,Debit,,
2022-12-05,Purchase - Pasadena Parking - Pasadena CA,,3.0,,Debit,,
2022-12-05,Purchase - Uber Eats Help.Uber.Com CA,,37.12,,Debit,,
2022-12-05,Purchase - Apple.Com/Bill 866-712-7753 CA,,89.98,,Debit,,
2022-12-05,Purchase - Wholefds Arr 10237 Pasadena CA,,14.18,,Debit,,
2022-12-05,Zelle to Ed,,100.0,,Debit,,
2022-12-05,Pwp Amazon Tips Privacycom,,5.0,,Debit,,
2022-12-05,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-12-05,Pwp Amazon.Com* Privacycom,,47.55,,Debit,,
2022-12-05,Pwp Amzn Mktp U Privacycom,,48.22,,Debit,,
2022-12-05,Pwp Amazon.Com* Privacycom,,85.99,,Debit,,
2022-12-05,Pwp Amazon.Com* Privacycom,,95.24,,Debit,,
2022-12-05,Pwp Amzn Mktp U Privacycom,,616.63,,Debit,,
2022-12-05,Pwp Amzn Mktp U Privacycom,,809.09,,Debit,,
2022-12-05,So Cal Gas Paid,,38.94,269215.86,Debit,,
2022-12-06,WT Fed - Jpmorgan Chase Ban - Popstand Inc,4000.0,,,Credit,,
2022-12-06,Wire Trans Svc Charge,,15.0,,Debit,,
2022-12-06,Purchase - P3 Lax Smartparkin Los Angeles CA,,9.0,,Debit,,
2022-12-06,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,74.99,,Debit,,
2022-12-06,Purchase - Cvs/Pharm 09721--1401 Arcadia CA,,51.01,,Debit,,
2022-12-06,Pwp Dnh*Godaddy Privacycom,,20.17,,Debit,,
2022-12-06,Pwp Amazon.Com* Privacycom,,90.94,272954.75,Debit,,
2022-12-07,Medium.Com Medium.Com,0.01,,,Credit,,
2022-12-07,Purchase - Laz Parking 670600 Pasadena CA,,14.0,,Debit,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,,47.87,,Debit,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,,39.92,,Debit,,
2022-12-07,Purchase - Uber Eats Help.Uber.Com CA,,69.87,,Debit,,
2022-12-07,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-12-07,Pwp Amzn Mktp U Privacycom,,41.5,,Debit,,
2022-12-07,Pwp Amazon.Com* Privacycom,,109.43,,Debit,,
2022-12-07,Check #4632,,3257.17,269368.00,Debit,,
2022-12-08,Purchase - Ipic Pasadena - Ci Pasadena CA,,40.25,,Debit,,
2022-12-08,Purchase - Apple.Com/Bill 866-712-7753 CA,,87.97,,Debit,,
2022-12-08,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,39.99,,Debit,,
2022-12-08,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-12-08,Pwp Amz*Tipsy E Privacycom,,69.01,,Debit,,
2022-12-08,Pwp Amz*Tipsy E Privacycom,,77.54,,Debit,,
2022-12-08,Pwp Amazon.Com* Privacycom,,113.88,268932.36,Debit,,
2022-12-09,Recurring Payment - Google *Google Sto 855-836-3987 CA,,1.99,,Debit,,
2022-12-09,Purchase - Pasadena Parking - Pasadena CA,,3.0,,Debit,,
2022-12-09,Purchase - Tst* Tatsu - Pasad Pasadena CA,,50.15,,Debit,,
2022-12-09,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
